,source,target
2282,Endothelial cells,EGFL7
2298,Fibroblasts,EGR1
2313,Neutrophils,ELANE
2314,Neurons,ELAVL3
2318,Cholangiocytes,ELF3
2329,Endothelial cells,EMCN
2340,Endothelial cells,EMP1
2353,Endothelial cells,ENG
2354,Ependymal cells,ENKUR
2355,Neurons,ENO2
2361,Proximal tubule cells,ENPEP
2366,Oligodendrocytes,ENPP2
2387,Endothelial cells,EPAS1
2392,Erythroid-like and erythroid precursor cells,EPB42
2395,Cholangiocytes,EPCAM
2397,Epithelial cells,EPCAM
2410,Oligodendrocyte progenitor cells,EPN2
2429,Oligodendrocytes,ERMN
2474,Alpha cells,F10
2488,Enterocytes,FABP1
2489,Enterocytes,FABP2
2509,Proximal tubule cells,FAH
2543,Proximal tubule cells,FBP1
2577,Macrophages,FCGR3A
2599,Serotonergic neurons,FEV
2641,Gamma delta T cells,FGFBP2
2647,Astrocytes,FGFR3
2653,Hepatocytes,FGL1
2670,Mesangial cells,FILIP1L
2684,Mesangial cells,FLNA
2692,Endothelial cells,FLT1
2706,Pancreatic stellate cells,FN1
2707,Mesangial cells,FN1
2710,Proximal tubule cells,FOLR1
2716,Fibroblasts,FOSB
2745,Ependymal cells,FOXJ1
2754,B cells naive,FOXP1
2781,Fibroblasts,FSTL1
2785,Dendritic cells,FTL
2806,Alpha cells,FXYD5
2824,Beta cells,G6PC2
2890,Mesangial cells,GATA3
2906,Alpha cells,GC
2909,Alpha cells,GCG
2910,Enteroendocrine cells,GCG
2926,Ductal cells,GDF15
2928,Acinar cells,GDF15
2935,Loop of Henle cells,GEM
2941,Astrocytes,GFAP
2957,Enteric glia cells,GFRA3
2960,Peri-islet Schwann cells,GFRA3
2989,Leydig cells,GJA1
2990,Astrocytes,GJA1
3001,Oligodendrocytes,GJB1
3016,Beta cells,GJD2
3036,Proximal tubule cells,GLYAT
3051,Platelets,GNG11
3052,Endothelial cells,GNG11
3062,Plasma cells,GNG7
3069,NK cells,GNLY
3070,Gamma delta T cells,GNLY
3074,Podocytes,GOLIM4
3094,Gamma (PP) cells,GPC5-AS1
3105,Macrophages,GPNMB
3121,Plasmacytoid dendritic cells,GPR183
3129,Oligodendrocyte progenitor cells,GPR37L1
3131,Astrocytes,GPR37L1
3145,Platelets,GPX1
3189,Fibroblasts,GSN
3190,Acinar cells,GSTA1
3194,Acinar cells,GSTA2
3222,Erythroid-like and erythroid precursor cells,GYPB
3223,Erythroid-like and erythroid precursor cells,GYPC
3226,Gamma delta T cells,GZMA
3227,NK cells,GZMA
3229,T cytotoxic cells,GZMB
3231,NK cells,GZMB
3232,Plasmacytoid dendritic cells,GZMB
3233,Gamma delta T cells,GZMB
3235,NK cells,GZMH
3277,Erythroid-like and erythroid precursor cells,HBB
3322,Proximal tubule cells,HGD
3333,Delta cells,HHEX
3336,Luminal epithelial cells,HIF1A
3340,Pericytes,HIGD1B
3350,Platelets,HLA-A
3351,Dendritic cells,HLA-A
3352,Dendritic cells,HLA-B
3353,Dendritic cells,HLA-C
3354,Dendritic cells,HLA-DMA
3361,Dendritic cells,HLA-DPA1
3362,Dendritic cells,HLA-DPB1
3368,Dendritic cells,HLA-DQB1
3369,B cells naive,HLA-DQB1
3372,B cells,HLA-DRA
3374,Dendritic cells,HLA-DRA
3376,Dendritic cells,HLA-DRB1
3387,Luminal epithelial cells,HMGA1
3411,Gamma delta T cells,HOPX
3412,Beta cells,HOPX
3414,Mesangial cells,HOPX
3418,NK cells,HOPX
3432,Adipocytes,HOXC9
3442,Mast cells,HPGDS
3462,Leydig cells,HSD17B3
3491,Endothelial cells,HYAL2
3493,Enteroendocrine cells,IAPP
3494,Delta cells,IAPP
3495,Beta cells,IAPP
3515,Endothelial cells,ID1
3517,Endothelial cells,ID3
3523,Endothelial cells,IFI27
3527,Monocytes,IFIT1
3529,Monocytes,IFIT3
3566,Fibroblasts,IGFBP6
3568,Hepatic stellate cells,IGFBP6
3569,Endothelial cells,IGFBP7
3571,Hepatic stellate cells,IGFBP7
3573,Plasma cells,IGHA1
3575,Plasma cells,IGHA2
3578,B cells naive,IGHD
3581,Plasma cells,IGHG1
3583,Plasma cells,IGHG2
3584,Plasma cells,IGHG3
3586,Plasma cells,IGHG4
3590,B cells,IGHM
3591,B cells naive,IGHM
3592,B cells naive,IGKC
3595,Plasma cells,IGKC
3597,B cells,IGLC2
3598,Plasma cells,IGLC2
3600,Plasma cells,IGLC3
3681,NK cells,IL2RG
3683,T cells,IL32
3724,T cells,IL7R
3738,Granulosa cells,INHA
3748,Beta cells,INS
3750,Leydig cells,INSL3
3780,Monocytes,IRF7
3781,Plasmacytoid dendritic cells,IRF7
3783,Plasmacytoid dendritic cells,IRF8
3803,Delta cells,ISL1
3806,Beta cells,ISL1
3844,Mesangial cells,ITGA8
3870,Macrophages,ITGAX
3904,Goblet cells,ITLN1
3906,Plasmacytoid dendritic cells,ITM2C
3927,Plasma cells,JCHAIN
3928,Plasmacytoid dendritic cells,JCHAIN
3934,T cells,JUNB
4027,Mast cells,KIT
4054,Enterocytes,KLF5
4056,Fibroblasts,KLF6
4067,Acinar cells,KLK1
4087,Gamma delta T cells,KLRD1
4089,NK cells,KLRD1
4090,Gamma delta T cells,KLRF1
4102,Keratinocytes,KRT10
4105,Keratinocytes,KRT14
4112,Keratinocytes,KRT15
4113,Basal cells,KRT15
4119,Keratinocytes,KRT17
4123,Mammary epithelial cells,KRT18
4124,Luminal epithelial cells,KRT18
